P0,A0,B0,k_A,k_B,K,n,t_activation,t_cross,t50,t90,delta_t_50_90,t90_primary_limit,t90_excess_delay,max_secondary_fraction,secondary_fraction_at_t50,secondary_fraction_at_t90,secondary_reservoir_converted,integrated_secondary_fraction,B50_fraction_remaining,B90_fraction_remaining,final_P,final_A,final_B,max_conservation_error
0.01,0.39,0.6,0.15,0.1,0.05,1,0.5252626313156579,2.251125562781391,6.738369184592297,22.001000500250125,15.262631315657828,9.14017925992735,12.860821240322775,0.852597184395279,0.6013564779201317,0.7877501704772671,0.9340742436474125,0.5923659397110485,0.5882751804900068,0.1408516131390503,0.956112037538532,0.004332508649915051,0.039555453811552434,9.992007221626409e-16
0.01,0.39,0.6,0.15,0.1,0.05,2,0.5702851425712857,1.3506753376688345,6.3631815907953975,20.81540770385193,14.45222611305653,9.14017925992735,11.675228443924578,0.8338219220669937,0.6022090900311747,0.7596458284810261,0.9455060498810888,0.5952999175540813,0.5738529566103172,0.13617477091797023,0.9629711212787383,0.004332508649915042,0.032696370071346764,8.881784197001252e-16
0.01,0.39,0.6,0.15,0.1,0.05,4,0.6303151575787894,0.9604802401200601,6.2731365682841425,20.650325162581293,14.37718859429715,9.14017925992735,11.510145902653942,0.8307232290664863,0.5997171209830205,0.7545944026895008,0.9468453109701249,0.5956408780046091,0.5701212798013894,0.13539090987151775,0.9637746779321591,0.004332508649915077,0.031892813417925034,9.992007221626409e-16
0.01,0.39,0.6,0.15,0.1,0.1,1,1.2456228114057029,3.1815907953976987,7.383691845922962,23.621810905452726,16.238119059529765,9.14017925992735,14.481631645525376,0.8726760041673278,0.6125863345449183,0.8233139095578982,0.9179186668594347,0.5881463122586627,0.6101664703182454,0.1459643447835698,0.946418691465747,0.004332508649915049,0.04924879988433921,1.3322676295501878e-15
0.01,0.39,0.6,0.15,0.1,0.1,2,1.3656828414207105,2.3111555777888944,6.9784892446223115,21.745872936468235,14.767383691845923,9.14017925992735,12.605693676540884,0.8497788486076632,0.6265455337560213,0.7874094774564285,0.9380621897999762,0.593394267247242,0.5967807702508897,0.14007525101559537,0.95850480523007,0.004332508649915007,0.03716268612001423,1.3322676295501878e-15
0.01,0.39,0.6,0.15,0.1,0.1,4,1.500750375187594,1.9209604802401201,6.828414207103552,21.355677838919462,14.52726363181591,9.14017925992735,12.215498578992111,0.8433696632531803,0.6278078248298463,0.777499437548158,0.941672612114986,0.5943207823005605,0.5914245757971883,0.1384335947782894,0.9606710586190759,0.004332508649915009,0.034996432731008345,8.881784197001252e-16
0.01,0.39,0.6,0.15,0.1,0.2,1,2.896448224112056,4.457228614307153,8.434217108554277,26.63831915957979,18.204102051025515,9.14017925992735,17.49813989965244,0.8980602634650454,0.6253575354955107,0.8746286892706919,0.8839715137165893,0.578988785413015,0.6410610016324993,0.15288077071460546,0.9260503995800389,0.004332508649915072,0.06961709177004641,8.881784197001252e-16
0.01,0.39,0.6,0.15,0.1,0.2,2,3.2266133066533267,3.9469734867433717,8.329164582291146,24.102051025512758,15.772886443221612,9.14017925992735,14.961871765585407,0.8810601887892134,0.6638082983046333,0.8425047019858529,0.916175152763784,0.5876857004834405,0.63842078892232,0.14725937970196692,0.9453725830083561,0.004332508649915026,0.05029490834172958,1.1102230246251565e-15
0.01,0.39,0.6,0.15,0.1,0.2,4,3.5867933966983494,3.856928464232116,8.284142071035518,23.186593296648326,14.902451225612808,9.14017925992735,14.046414036720975,0.8711389310167632,0.6882719907377123,0.8275639268793055,0.9266345578413075,0.590433581587173,0.6365593898982809,0.14479692863789317,0.95164822605487,0.004332508649914975,0.0440192652952155,4.440892098500626e-16
0.01,0.39,0.6,0.15,0.1,0.3,1,4.8924462231115555,5.402701350675338,9.304652326163081,29.534767383691847,20.230115057528764,9.14017925992735,20.394588123764496,0.9131935960203406,0.6329261260269365,0.9103097245207453,0.8482693441039002,0.568907950464465,0.6635513542936854,0.1571227107275033,0.9046290978124237,0.00433250864991509,0.09103839353765991,1.887379141862766e-15
0.01,0.39,0.6,0.15,0.1,0.3,2,5.5377688844422215,5.402701350675338,9.769884942471236,27.04352176088044,17.273636818409205,9.14017925992735,17.90334250095309,0.9077050391688927,0.6887733771983519,0.891310273273755,0.8822722270176324,0.5785196741641843,0.6738050363088325,0.15373671732305513,0.9250308275606659,0.004332508649915078,0.0706366637894206,1.7763568394002505e-15
0.01,0.39,0.6,0.15,0.1,0.3,4,6.348174087043522,5.927963981990995,10.250125062531266,25.82791395697849,15.577788894447226,9.14017925992735,16.68773469705114,0.9015635329019865,0.7440339407697875,0.880769841995716,0.8997490966155005,0.5832950529607258,0.6847406210413132,0.15144237901316646,0.9355169493193843,0.004332508649914991,0.060150542030699736,9.992007221626409e-16
